age,sex,total_mean,total_lower_p95,total_upper_p95
86,Both,0.6784475384290106,0.5226163262153213,0.8793138587254145
86,Female,0.6704146793671117,0.4907816001527064,0.9044913475639653
86,Male,0.6905063869091279,0.5220035212946195,0.9088312118978781
87,Both,0.6984745551483713,0.5399325412278193,0.9018565900463599
87,Female,0.6903408550479764,0.5065195112411058,0.9297133609459348
87,Male,0.7101685746721756,0.5372260315655107,0.9311999759521282
88,Both,0.7193824205264086,0.5527264579753076,0.9314555727126471
88,Female,0.7115998376515316,0.5201966149722245,0.960534194052776
88,Male,0.7304762006476234,0.5485815217532819,0.9618208978580353
89,Both,0.7398702888343371,0.5618798645255997,0.9661701321242266
89,Female,0.7326287605627068,0.531902156311757,0.9979075848689029
89,Male,0.7502311383119448,0.5581861171865553,0.9959274244589971
90,Both,0.7608611877864303,0.569777882913125,1.0
90,Female,0.753953460172443,0.5410396260068567,1.0
90,Male,0.7709575215608575,0.5654004621039062,1.0
91,Both,0.7791981740439121,0.5860550748647331,1.0
91,Female,0.7729732144221043,0.5556855650813759,1.0
91,Male,0.7884180874556018,0.5809830908260863,1.0
92,Both,0.7940252296085214,0.5954313633527695,1.0
92,Female,0.7881144448592754,0.5645810318129287,1.0
92,Male,0.8026700023935212,0.5906532713283951,1.0
93,Both,0.8141066084026685,0.6055731083455204,1.0
93,Female,0.8101061315646484,0.5763400678412277,1.0
93,Male,0.8199743284780776,0.599417398053423,1.0
94,Both,0.8306460690057801,0.6113521233296124,1.0
94,Female,0.8277400253676674,0.5835644635943037,1.0
94,Male,0.835015672893273,0.6052336333867983,1.0
95,Both,0.8482956408270728,0.6156636126905931,1.0
95,Female,0.8503735602449266,0.5936000067077386,1.0
95,Male,0.8447455545414724,0.6036313752651828,1.0
96,Both,0.8620520383857866,0.6256180457532216,1.0
96,Female,0.8639700478215173,0.6029721126959596,1.0
96,Male,0.8586653355109216,0.6134843476949785,1.0
97,Both,0.8758077723546642,0.6332511824007307,1.0
97,Female,0.8775630391034035,0.6107013957995597,1.0
97,Male,0.8725847583437888,0.6225475396186785,1.0
98,Both,0.8895627642419575,0.6404115397121242,1.0
98,Female,0.8911501146367494,0.6173999073257562,1.0
98,Male,0.8865037019309536,0.6290349838872327,1.0
99,Both,0.9033163132539088,0.6457827461985923,1.0
99,Female,0.9047279107679388,0.6225388209017363,1.0
99,Male,0.9004218969046504,0.6342706108778635,1.0
100,Both,0.9170671121660472,0.6494352104413866,1.0
100,Female,0.9182912590388206,0.6275173130110405,1.0
100,Male,0.9143390076302504,0.6393561821856215,1.0
