age,sex,total_mean,total_lower_p95,total_upper_p95
25,Female,0.0,0.0,0.0
25,Male,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
26,Female,0.0,0.0,0.0
26,Male,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
27,Female,0.0,0.0,0.0
27,Male,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
28,Female,0.0,0.0,0.0
28,Male,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
29,Female,0.0,0.0,0.0
29,Male,0.0,0.0,0.0
30,Both,1.2401127619282179e-06,1.085640715403081e-15,7.6368803574411e-06
30,Female,1.1812887173303567e-06,1.0022977959187352e-15,7.306381021667476e-06
30,Male,1.319020272627997e-06,1.1618803143225785e-15,8.215490738368417e-06
31,Both,0.009554242117421992,0.006770526694029625,0.0134396109192267
31,Female,0.009658570795993802,0.006607031171026609,0.0139464742246766
31,Male,0.009495531548051656,0.0066528155892629755,0.0135965190048324
32,Both,0.0191194270660946,0.013556504434915205,0.026878652217020602
32,Female,0.0193091597723372,0.013210807566555025,0.027866913315661
32,Male,0.0190186139986138,0.01332908176749192,0.027216967202293697
33,Both,0.028674300474969102,0.020345169039045295,0.040309837046679
33,Female,0.028944755001584,0.01980790003567477,0.0417435633349688
33,Male,0.0285323226117667,0.019998997829075726,0.0408321845652713
34,Both,0.0382250191285982,0.027125225155417095,0.0537313954264459
34,Female,0.038580777371829404,0.02639892482372961,0.0556292204228616
34,Male,0.0380345541385052,0.026668600464231182,0.054421369861005604
35,Both,0.04779554246338691,0.033916962952686716,0.06718013658060741
35,Female,0.048255234551119804,0.03302827388612877,0.0695635746855354
35,Male,0.04753780264833601,0.03332120097935815,0.06801439174175791
36,Both,0.0538449046233239,0.03886056833044542,0.0742935330454991
36,Female,0.05439842954704109,0.037881051780273275,0.0769950610238184
36,Male,0.05352037167906659,0.0382170467500667,0.0752836081964901
37,Both,0.059875644889663196,0.0431085906335248,0.0825799965566132
37,Female,0.0605443130158982,0.0421165297769426,0.08548531547291448
37,Male,0.059467330716499595,0.0422977201563572,0.0836145102103401
38,Both,0.0659543648828793,0.046864708309833,0.09176860197453629
38,Female,0.0667549195540012,0.045998337871928204,0.0951412245999999
38,Male,0.0654473684461887,0.045872729252789596,0.09285772883907879
39,Both,0.0720721594079408,0.050264846902797,0.10137202846710419
39,Female,0.07298471961368481,0.049540061291301105,0.1051969504953556
39,Male,0.0714854733694191,0.0492421957431348,0.1023733849078646
40,Both,0.07827315826558372,0.05359942667743,0.111864912741048
40,Female,0.07924859845688359,0.0529361297015875,0.11569983147853101
40,Male,0.07765077076984049,0.052598469745245596,0.1129871390837283
