age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
17,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Male,3.503452019827017e-07,3.2781789800849155e-14,1.709487844752347e-06,3.2781789800849155e-14,1.709487844752347e-06,3.0350624555595245e-15,1.932677429451245e-06,8.486333842087664e-16,2.05244425024019e-06,3.91337231699434e-16,2.1366905647962236e-06
41,Male,0.00036968443817876227,0.0001342916291941979,0.0006074274891101628,0.0001342916291941979,0.0006074274891101628,0.00011706466311455925,0.0006376793480959958,0.00010818449856610235,0.0006554283739671419,0.00010221405033595575,0.0006685593745546075
42,Male,0.0007399913246718361,0.0002681795805990918,0.0012161195390819257,0.0002681795805990918,0.0012161195390819257,0.00023392605457935416,0.0012744193015152504,0.0002167141091309605,0.0013112407033434783,0.0002041241247009125,0.0013374606356991198
43,Male,0.0011112158268520916,0.00040253905154380947,0.0018262343559193963,0.00040253905154380947,0.0018262343559193963,0.0003507538766495488,0.0019120627962204595,0.00032540518921103455,0.001969216395100597,0.0003067188383562377,0.002007458790535356
44,Male,0.001483794934726346,0.0005376710767879906,0.0024358418939056355,0.0005376710767879906,0.0024358418939056355,0.00046865414386725637,0.0025552131243230746,0.0004343258772551145,0.0026262670255493845,0.0004094843541394373,0.0026777640089793893
45,Male,0.0018606779752027818,0.0006742282898073089,0.0030517397690989806,0.0006742282898073089,0.0030517397690989806,0.0005872200390171796,0.003205889388089294,0.0005445021376758192,0.0032926170276089805,0.0005144094678031023,0.0033559384518764735
46,Male,0.0020877757422760874,0.0010857409259527016,0.0031981974246636166,0.0010857409259527016,0.0031981974246636166,0.001017227188815452,0.0033577056099430617,0.0009783705572672184,0.0034559475940786335,0.0009583978852231984,0.003519295648011192
47,Male,0.0023187054233560728,0.0014396717476349724,0.003382550155485939,0.0014396717476349724,0.003382550155485939,0.0013632782396962556,0.003539146418386069,0.0013239346603786274,0.0036352211290981403,0.0012979240092456015,0.0037039328195720457
48,Male,0.0025496129264305097,0.0017333132360355396,0.003583563557391108,0.0017333132360355396,0.003583563557391108,0.0016401221443058378,0.003757464002251153,0.0015866609093235244,0.003838536888465586,0.0015421654343928067,0.003911468537276624
49,Male,0.002776573443528449,0.001966186738015837,0.0038070518648103293,0.001966186738015837,0.0038070518648103293,0.001845289742267605,0.003975150980997178,0.0017688141285382435,0.004084238350147057,0.001707174864654325,0.004170570937074596
50,Male,0.0030006880933845484,0.0021334590322290496,0.004070172971681786,0.0021334590322290496,0.004070172971681786,0.0019950118909492416,0.004252205615633565,0.0019005651513326377,0.004385568695593749,0.0018230596491744715,0.004463607220407028
51,Male,0.0032284598149095655,0.0023501717367793605,0.004297169341333174,0.0023501717367793605,0.004297169341333174,0.0022309432649556373,0.004507652806245865,0.0021526851562477228,0.0046267544499766,0.002099413054030074,0.0047248618269433605
52,Male,0.00345703216448533,0.002545669447229106,0.004574390887818478,0.002545669447229106,0.004574390887818478,0.0024470493606534843,0.004808303624739754,0.002383070474136221,0.004933812991135349,0.002324842882396808,0.005012782058096779
53,Male,0.0036869569350228616,0.0027244377989854313,0.0048968456612718606,0.0027244377989854313,0.0048968456612718606,0.0026250465481012526,0.005124189709281537,0.0025702592330640616,0.005263267067742794,0.0025208361610108507,0.005362016022937608
54,Male,0.003919115880473437,0.0028890707575078924,0.0052336980381657485,0.0028890707575078924,0.0052336980381657485,0.0027698376203290974,0.005491943289161929,0.002710548570120026,0.005631068124998331,0.0026759970126303562,0.0057376675887134175
55,Male,0.004156405670011483,0.003033153024894894,0.005596633694097473,0.003033153024894894,0.005596633694097473,0.0029010348347955264,0.0058842300785413235,0.0028418603474045616,0.006042805653183015,0.002798268996830329,0.006161722820201031
56,Male,0.00453527166521675,0.0033716969148932067,0.0059837362455766535,0.0033716969148932067,0.0059837362455766535,0.0032402147606915535,0.006245289684985881,0.0031742307570629554,0.006404425545549877,0.003129259621863632,0.006511504829963376
57,Male,0.004917040051074772,0.0036803833368628694,0.00641787565865796,0.0036803833368628694,0.00641787565865796,0.0035387121958061645,0.006686345607149644,0.0034599858841352377,0.006853754568627516,0.0034134088277434,0.006945249164599131
58,Male,0.005275787037001377,0.003936460635118812,0.006881562341442014,0.003936460635118812,0.006881562341442014,0.0037869172185010006,0.007156509325474363,0.0037094509804274974,0.00731374113424181,0.0036607312392832056,0.007426741997716869
59,Male,0.005607023284028146,0.004146765571047393,0.007347626263799165,0.004146765571047393,0.007347626263799165,0.003998011446924793,0.007624643699616815,0.003908939110476307,0.007804634936697276,0.003849907173717492,0.007908374750838226
60,Male,0.005935558888007236,0.004348830958284697,0.007835965246058616,0.004348830958284697,0.007835965246058616,0.0041788393226246,0.008139257141788595,0.004080209066962676,0.008333136012183976,0.004005014874946253,0.008452317087666495
61,Male,0.006565435916940325,0.0049294673197058875,0.008487643163828962,0.0049294673197058875,0.008487643163828962,0.004752505212011438,0.008793912822116471,0.004664066475839756,0.008972841215330565,0.004583520888906323,0.009102169472990402
62,Male,0.007224483950145555,0.005479417904679878,0.009280236140316195,0.005479417904679878,0.009280236140316195,0.005281814961393904,0.009603613832282485,0.0051796894328512595,0.009789516611064397,0.00511273982002546,0.00989784023317596
63,Male,0.007921097472427226,0.006009853254369423,0.010196626725286435,0.006009853254369423,0.010196626725286435,0.005788081500581987,0.010558738189506136,0.005693503662921778,0.0107393232228366,0.00563149854634582,0.010876265720858773
64,Male,0.008667094952922772,0.006549762983267169,0.011214714045833477,0.006549762983267169,0.011214714045833477,0.006298395595257702,0.011622553334850641,0.00617913627878216,0.011851935058550275,0.006103858052298042,0.012012888572279976
65,Male,0.009406593609573858,0.007049226776086732,0.012248516634701001,0.007049226776086732,0.012248516634701001,0.006777652921116891,0.0127496072615873,0.006621217040248857,0.012997408592572311,0.00652093820326395,0.01320077543520041
66,Male,0.010584592085761062,0.008117585760214905,0.013543111040256482,0.008117585760214905,0.013543111040256482,0.007808858782798127,0.013997687216726349,0.007652885240374847,0.014296603165313143,0.00755378467736473,0.01449243681616712
67,Male,0.011736491720615635,0.009049359223023194,0.01497588221164426,0.009049359223023194,0.01497588221164426,0.008716432538522514,0.015428220438803897,0.008523189036815487,0.015737075087274954,0.00840375455243803,0.016010027043445892
