,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cum_sum_mu_p[29],1.11,0.15,0.83,1.4,0.0,0.0,3120.73,6673.98,1.0
cum_sum_mu_p[30],1.19,0.17,0.89,1.5,0.0,0.0,2630.69,6528.92,1.0
cum_sum_mu_p[31],1.28,0.18,0.96,1.62,0.0,0.0,2288.04,5741.84,1.0
cum_sum_mu_p[32],1.36,0.19,1.02,1.73,0.0,0.0,2048.86,5332.19,1.0
cum_sum_mu_p[33],1.44,0.21,1.08,1.84,0.0,0.0,1868.96,4948.24,1.0
cum_sum_mu_p[34],1.52,0.22,1.13,1.93,0.01,0.0,1727.29,4609.86,1.0
cum_sum_mu_p[35],1.59,0.23,1.17,2.01,0.01,0.0,1618.46,4403.82,1.0
cum_sum_mu_p[36],1.65,0.24,1.23,2.12,0.01,0.0,1527.85,4279.29,1.0
cum_sum_mu_p[37],1.72,0.25,1.28,2.2,0.01,0.0,1447.92,4058.6,1.0
cum_sum_mu_p[38],1.79,0.26,1.32,2.27,0.01,0.01,1375.08,3829.67,1.0
cum_sum_mu_p[39],1.85,0.27,1.37,2.36,0.01,0.01,1310.41,3475.44,1.0
cum_sum_mu_p[40],1.9,0.28,1.42,2.42,0.01,0.01,1256.96,3278.91,1.0
cum_sum_mu_p[41],1.96,0.28,1.47,2.5,0.01,0.01,1210.24,3141.95,1.01
cum_sum_mu_p[42],2.01,0.29,1.5,2.55,0.01,0.01,1169.44,3008.16,1.01
cum_sum_mu_p[43],2.06,0.3,1.53,2.62,0.01,0.01,1133.18,2811.32,1.01
cum_sum_mu_p[44],2.11,0.31,1.57,2.68,0.01,0.01,1100.41,2771.21,1.01
cum_sum_mu_p[45],2.16,0.31,1.61,2.74,0.01,0.01,1073.63,2656.91,1.01
cum_sum_mu_p[46],2.2,0.32,1.64,2.79,0.01,0.01,1048.75,2611.54,1.01
cum_sum_mu_p[47],2.25,0.32,1.69,2.86,0.01,0.01,1025.75,2538.29,1.01
cum_sum_mu_p[48],2.29,0.33,1.72,2.91,0.01,0.01,1004.29,2457.3,1.01
cum_sum_mu_p[49],2.33,0.33,1.75,2.96,0.01,0.01,984.3,2357.9,1.01
cum_sum_mu_p[50],2.37,0.34,1.78,3.0,0.01,0.01,967.43,2325.02,1.01
cum_sum_mu_p[51],2.41,0.34,1.8,3.04,0.01,0.01,951.98,2260.65,1.01
cum_sum_mu_p[52],2.44,0.35,1.82,3.08,0.01,0.01,937.54,2193.34,1.01
cum_sum_mu_p[53],2.48,0.35,1.85,3.12,0.01,0.01,924.14,2156.9,1.01
cum_sum_mu_p[54],2.51,0.35,1.88,3.17,0.01,0.01,911.61,2094.61,1.01
cum_sum_mu_p[55],2.54,0.36,1.91,3.21,0.01,0.01,901.23,2030.2,1.01
cum_sum_mu_p[56],2.57,0.36,1.94,3.26,0.01,0.01,891.36,1971.91,1.01
cum_sum_mu_p[57],2.6,0.36,1.95,3.28,0.01,0.01,882.09,1924.45,1.01
cum_sum_mu_p[58],2.63,0.37,1.98,3.32,0.01,0.01,873.26,1862.1,1.01
cum_sum_mu_p[59],2.66,0.37,2.0,3.35,0.01,0.01,864.93,1812.76,1.01
cum_sum_mu_p[60],2.68,0.37,2.02,3.38,0.01,0.01,858.17,1789.71,1.01
cum_sum_mu_p[61],2.7,0.38,2.06,3.43,0.01,0.01,851.92,1759.15,1.01
cum_sum_mu_p[62],2.73,0.38,2.08,3.45,0.01,0.01,846.12,1751.4,1.01
cum_sum_mu_p[63],2.75,0.38,2.1,3.48,0.01,0.01,840.73,1738.87,1.01
cum_sum_mu_p[64],2.77,0.38,2.11,3.5,0.01,0.01,835.76,1714.14,1.01
cum_sum_mu_p[65],2.79,0.38,2.12,3.52,0.01,0.01,831.95,1691.21,1.01
cum_sum_mu_p[66],2.8,0.39,2.13,3.54,0.01,0.01,828.45,1683.39,1.01
cum_sum_mu_p[67],2.82,0.39,2.14,3.55,0.01,0.01,825.27,1659.63,1.01
cum_sum_mu_p[68],2.83,0.39,2.16,3.57,0.01,0.01,822.35,1655.08,1.01
cum_sum_mu_p[69],2.85,0.39,2.17,3.59,0.01,0.01,819.66,1640.84,1.01
cum_sum_mu_p[70],2.86,0.39,2.19,3.61,0.01,0.01,817.81,1633.53,1.01
cum_sum_mu_p[71],2.87,0.39,2.19,3.62,0.01,0.01,816.29,1627.29,1.01
cum_sum_mu_p[72],2.88,0.39,2.2,3.63,0.01,0.01,815.0,1609.39,1.01
cum_sum_mu_p[73],2.89,0.39,2.21,3.64,0.01,0.01,814.02,1606.04,1.01
cum_sum_mu_p[74],2.9,0.39,2.22,3.65,0.01,0.01,813.27,1596.26,1.01
cum_sum_mu_p[75],2.9,0.4,2.22,3.66,0.01,0.01,812.98,1594.04,1.01
cum_sum_mu_p[76],2.91,0.4,2.23,3.66,0.01,0.01,812.86,1591.51,1.01
cum_sum_mu_p[77],2.91,0.4,2.23,3.67,0.01,0.01,812.88,1589.05,1.01
cum_sum_mu_p[78],2.92,0.4,2.23,3.67,0.01,0.01,813.08,1591.44,1.01
cum_sum_mu_p[79],2.92,0.4,2.23,3.67,0.01,0.01,813.42,1601.69,1.01
cum_sum_mu_p[80],2.92,0.4,2.24,3.68,0.01,0.01,813.82,1606.24,1.01
